CODE,Snomed,Loinc,Name,UZ,RU,EN,
cancr0022.00167,,,,tos suyaklarining endoprostetikasi,эндопротезирование костей таза,pelvic bone arthroplasty,
cancr0022.00168,,,,sonni almashtirish,эндопротезирование тазобедренного сустава,hip joint arthroplasty,
cancr0022.00169,,,,tizzani almashtirish,эндопротезирование коленного сустава,knee joint arthroplasty,
cancr0022.00170,,,,oyoq Bilagi zo'r almashtirish,эндопротезирование голеностопного сустава,ankle joint arthroplasty,
cancr0022.00171,,,,diafiz suyaklarining endoprostetikasi,эндопротезирование диафизарных отделов костей,diaphyseal bone arthroplasty,
cancr0022.00172,,,,bilak qo'shimchasini almashtirish,эндопротезирование лучезапястного сустава,wrist joint arthroplasty,
cancr0022.00173,,,,radial suyakni almashtirish,эндопротезирование лучевой кости,radius bone arthroplasty,
cancr0022.00174,,,,endoprotezni olib tashlash,удаление эндопротеза,endoprosthesis removal,
cancr0022.00175,,,,qayta endoprotez bilan endoprotezni olib tashlash,удаление эндопротеза с реэндопротезированием,endoprosthesis removal with re-arthroplasty,
cancr0022.00176,,,,endoprotezni qayta tiklash,реконструкция эндопротеза,endoprosthesis reconstruction,
cancr0022.00177,,,,oqma eksiziyasi,иссечение свища,fistula excision,
cancr0022.00178,,,,ochiq suyak shishi biopsiyasi,открытая биопсия опухоли кости,open bone tumor biopsy,
cancr0022.00179,,,,yumshoq to'qimalar o'simtasining ochiq biopsiyasi,открытая биопсия опухоли мягких тканей,open soft tissue tumor biopsy,
cancr0022.00180,,,,eksizyonel biopsiya,эксцизионная биопсия,excisional biopsy,
cancr0022.00181,,,,trefin biopsiyasi,трепан биопсия,trephine biopsy,
cancr0022.00182,,,,hemipelviektomiya,гемипельвиоэктомия,hemipelviectomy,
cancr0022.00183,,,,intramedullar pinni o'rnatish bilan segmental suyak rezektsiyasi,сегментарная резекция кости с установлением интрамедулярного штифта,segmental bone resection with intramedullary pin placement,
cancr0022.00184,,,,otoplastika bilan segmental suyak rezektsiyasi,сегментарная резекция кости с аутопластикой,segmental bone resection with autografting,
cancr0022.00185,,,,interskapular torakal rezektsiya,межлопаточная грудная резекция,interscapular thoracic resection,
cancr0022.00186,,,,interskapular torakal amputatsiya,межлопаточная грудная ампутация,interscapular thoracic amputation,
cancr0022.00187,,,,orqa miya o'smalarini eksizyon qilish,иссечение опухолей спинного мозга,spinal cord tumor excision,
cancr0022.00188,,,,umurtqa pog'onasining o'murtqa jarayonlarini rezektsiya qilish,резекция остистых отростков позвоночника,spinous process resection,
cancr0022.00189,,,,umurtqa pog'onasining lateral jarayonlarini rezektsiya qilish,резекция боковых отростков позвоночника,lateral process resection,
cancr0022.00190,,,,qafasni o'rnatish bilan vertebra tanasini rezektsiya qilish,резекция тела позвонка с установлением кейджа,vertebral body resection with cage placement,
cancr0022.00191,,,,transpedikulyar fiksatorlarni o'rnatish,установление транспедикулярных фиксаторов,transpedicular fixator placement,
cancr0022.00192,,,,ajratgichni olib tashlash,удаление спейсера,spacer removal,
cancr0022.00193,,,,skapula rezektsiyasi,резекция лопатки,scapular resection,
cancr0022.00194,,,,sternumektomiya,стернумэктомия,sternumectomy,
cancr0022.00195,,,,parotid tuprik bezining rezektsiyasi,резекция околоушной слюнной железы,parotid gland resection,
cancr0022.00196,,,,tashqi submandibular kirish yordamida parotid tuprik bezining faringeal jarayonini rezektsiya qilish,резекция глоточного отростка околоушной слюнной железы наружным подчелюстным доступом,pharyngeal process resection of the parotid salivary gland via external submandibular approach,
cancr0022.00197,,,,parotid tuprik bezining subtotal rezektsiyasi,субтотальная резекция околоушной слюнной железы,subtotal parotid gland resection,
cancr0022.00198,,,,parotidektomiya,паротидэктомия,parotidectomy,
cancr0022.00199,,,,submandibular tuprik bezining ekstirpatsiyasi,экстирпация подчелюстной слюнной железы,submandibular salivary gland extirpation,
cancr0022.00200,,,,hemitiroidektomiya,гемитиреоидэктомия,hemithyroidectomy,
cancr0022.00201,,,,qalqonsimon bezning subtotal rezektsiyasi,субтотальная резекция щитовидной железы,subtotal thyroid resection,
cancr0022.00202,,,,tiroidektomiya,тиреоидэктомия,thyroidectomy,
cancr0022.00203,,,,Halqum xordektomiyasi,хордэктомия гортани,laryngeal chordectomy,
cancr0022.00204,,,,anterolateral laringektomiya,переднебоковая резекция гортани,anterolateral laryngeal resection,
cancr0022.00205,,,,halqumning supraglottik gorizontal rezektsiyasi,надскладочная горизонтальная резекция гортани,supraglottic horizontal laryngeal resection,
cancr0022.00206,,,,laringektomiya,ларингэктомия,laryngectomy,
cancr0022.00207,,,,yuqori jag'ning rezektsiyasi,резекция верхней челюсти,maxillary resection,
cancr0022.00208,,,,yuqori jag'ning estrodiol rezektsiyasi,комбинированная резекция верхней челюсти,combined maxillary resection,
cancr0022.00209,,,,o'simta biopsiyasi bilan diagnostik maksiller sinusotomiya,диагностическая гайморотомия с биопсией опухоли,diagnostic maxillary antrotomy with tumor biopsy,
cancr0022.00210,,,,o'simtani olib tashlash bilan maksiller sinusotomiya,гайморотомия с удалением опухоли,maxillary antrotomy with tumor removal,
cancr0022.00211,,,,o'simta biopsiyasi bilan diagnostik rinotomiya,диагностическая ринотомия с биопсией опухоли,diagnostic rhinotomy with tumor biopsy,
cancr0022.00212,,,,o'simtani olib tashlash bilan rinotomiya,ринотомия с удалением опухоли,rhinotomy with tumor removal,
cancr0022.00213,,,,o'simta biopsiyasi bilan diagnostik etmoidotomiya,диагностическая этмоидотомия с биопсией опухоли,diagnostic ethmoidectomy with tumor biopsy,
cancr0022.00214,,,,o'simtani olib tashlash bilan etmoidotomiya,этмоидотомия с удалением опухоли,ethmoidectomy with tumor removal,
cancr0022.00215,,,,o'simta biopsiyasi bilan diagnostik faringotomiya,диагностическая фаринготомия с биопсией опухоли,diagnostic pharyngotomy with tumor biopsy,
cancr0022.00216,,,,o'smani olib tashlash bilan faringotomiya,фаринготомия с удалением опухоли,pharyngotomy with tumor removal,
cancr0022.00217,,,,farenks rezektsiyasi bilan laringektomiya,ларингэктомия с резекцией глотки,laryngectomy with pharyngeal resection,
cancr0022.00218,,,,laringofaringektomiya,ларингофарингэктомия,laryngopharyngectomy,
cancr0022.00219,,,,qizilo'ngach rezektsiyasi bilan laringofaringektomiya,ларингофарингэктомия с резекцией пищевода,laryngopharyngectomy with esophageal resection,
cancr0022.00220,,,,yarim til rezektsiyasi,половинная резекция языка,half tongue resection,
cancr0022.00221,,,,tilning kombinatsiyalangan rezektsiyasi,комбинированная резекция языка,combined tongue resection,
cancr0022.00222,,,,og'iz tubining rezektsiyasi,резекция дна полости рта,resection of the floor of the mouth,
cancr0022.00223,,,,og'iz yonoqlarini rezektsiya qilish,резекция щеки полости рта,resection of the cheek of the oral cavity,
cancr0022.00224,,,,pastki jagning marginal rezektsiyasi,краевая резекция нижней челюсти,marginal resection of the lower jaw,
cancr0022.00225,,,,pastki jag'ning segmental rezektsiyasi,сегментарная резекция нижней челюсти,segmental resection of the lower jaw,
cancr0022.00226,,,,pastki jag'ning subtotal rezektsiyasi,субтотальная резекция нижней челюсти,subtotal resection of the lower jaw,
cancr0022.00227,,,,hemimandibulektomiya (pastki jag'ning yarim rezektsiyasi),гемимандибулэктомия (половинная резекция нижней челюсти),hemimandibulectomy (half resection of the lower jaw),
cancr0022.00228,,,,og'iz bo'shlig'i o'smalari uchun rekonstruktiv jarrohlik,реконструктивно-восстановительные операция при опухолях полости рта,reconstructive and restorative surgery for tumors of the oral cavity,
cancr0022.00229,,,,yuqori jag'ning o'smalari uchun rekonstruktiv operatsiyalar,реконструктивно-восстановительные операции при опухолях верхней челюсти,reconstructive and restorative surgery for tumors of the upper jaw,
cancr0022.00230,,,,og'iz o'smalari uchun plastik jarrohlik,пластические операции при опухолях полости рта,plastic surgery for tumors of the oral cavity,
cancr0022.00231,,,,yuqori jag'ning o'smalari uchun plastik jarrohlik,пластические операции при опухолях верхней челюсти,plastic surgery for tumors of the upper jaw,
cancr0022.00232,,,,teri shishini plastik jarrohlik bilan olib tashlash,иссечение опухоли кожи с пластикой,excision of a skin tumor with plastic surgery,
cancr0022.00233,,,,bosh va bo'yin hududida yumshoq to'qimalarning shishlarini radikal tarzda olib tashlash,радикальное удаление опухоли мягких тканей области головы и шеи,radical removal of a tumor of the soft tissues of the head and neck,
cancr0022.00234,,,,traxeostomiya,трахеостомия,tracheostomy,
cancr0022.00235,,,,tashqi uyqu arteriyasini bog'lash,перевязка наружной сонной артерии,ligation of the external carotid artery,
cancr0022.00236,,,,selektiv servikal limfa tugunlarining diseksiyasi,селективная шейная лимфодиссекция,selective cervical lymph node dissection,
cancr0022.00237,,,,bachadon bo'yni limfa tugunlarining radikal diseksiyasi,радикальная шейная лимфодиссекция,radical cervical lymph node dissection,
cancr0022.00238,,,,yumshoq to'qimalarning o'simta takrorlanishining eksizyoni,иссечение опухоли рецидива мягких тканей,excision of a recurrent soft tissue tumor,
cancr0022.00239,,,,limfa tugunlari va o'smaning ochiq biopsiyasi,открытая биопсия лимфоузла и опухоли,open biopsy of a lymph node and tumor,
cancr0022.00240,,,,metastatik o'smani olib tashlash,иссечение метастатической опухоли,excision of a metastatic tumor,
cancr0022.00241,,,,o'simta biopsiyasi bilan laringotomiya,ларинготомия с биопсией опухоли,laryngotomy with tumor biopsy,
cancr0022.00242,,,,laringoplastika,ларингопластика,laryngoplasty,
cancr0022.00243,,,,limfogemangiomaning bog'lanishi va sklerozi,лигирование и склерозирование лимфогемангиомы,ligation and sclerotherapy of lymphohemangioma,
cancr0022.00244,,,,yuqori yoki pastki labni plastik jarrohlik bilan rezektsiya qilish,резекция верхней или нижней губы с пластикой,resection of the upper or lower lip with plastic surgery,
cancr0022.00245,,,,bolalarda orbital shishlarning ponksiyon biopsiyasi,пункционная биопсия опухолей орбиты у детей,puncture biopsy of orbital tumors in children,
cancr0022.00246,,,,orbital yumshoq to'qimalarning o'smalaridan biopsiya,биопсия из опухолей мягких тканей орбиты,biopsy from orbital soft tissue tumors,
cancr0022.00247,,,,kon'yunktiva va terining o'smalaridan biopsiya,биопсия из опухолей конъюнктивы и кожи,biopsy from conjunctiva and skin tumors,
cancr0022.00248,,,,orbital operatsiya,операция на орбите,surgery on the orbit,
cancr0022.00249,,,,ko'z olmasining enukleatsiyasi,энуклеация глазного яблока,enucleation of the eyeball,
cancr0022.00250,,,,kon'yunktiva va sklerada jarrohlik,операция на конъюктиве и склере,surgery on the conjunctiva and sclera,
cancr0022.00251,,,,ko'z qopqog'i terisi operatsiyasi,операция на коже век,surgery on the skin of the eyelids,
cancr0022.00252,,,,orbital eksenteratsiya,экзентерация орбиты,orbital exenteration,
cancr0022.00253,,,,kengaytirilgan orbital eksenteratsiya,расширенная экзентерация орбиты,extended orbital exenteration,
cancr0022.00254,,,,"sklerotomiya, ko'z ichi o'simtasini olib tashlash bilan","склеротомия, с удалением внутриглазной опухоли","sclerotomy, with removal of an intraocular tumor",
cancr0022.00255,,,,o'pkaning o'simtasi bilan o'pkaning atipik rezektsiyasi bilan biopsiya,биопсия опухоли легкого путем атипической резекцией легкого с опухолью,lung tumor biopsy by atypical resection of the lung with a tumor,
cancr0022.00256,,,,mediastin va plevraning o'simta biopsiyasi bilan diagnostik torakoskopiya;,диагностическая торакоскопия с биопсией опухоли средостения и плевры;,diagnostic thoracoscopy with tumor biopsy mediastinum and pleura;,
cancr0022.00257,,,,kengaytirilgan (yoki + kombinatsiyalangan) lobektomiya yoki bilobektomiya;,расширенная (или +комбинированная) лобэктомияили билобэктомия;,extended (or + combined) lobectomy or bilobectomy;,
cancr0022.00258,,,,kengaytirilgan (yoki + kombinatsiyalangan) segmentektomiya yoki o'pkaning atipik rezektsiyasi;,расширенняя(или +комбинированная) сегментэктомия или атипическая резекция легкого;,extended (or + combined) segmentectomy or atypical lung resection;,
cancr0022.00259,,,,"o'pka o'simtasini (metastaz, tuberkulyoma, xondroma, hamartoxondroma, kist va boshqalar) olib tashlash (yoki + kombinatsiyalangan)","удаление (или +комбинированное) опухоли (метастаза, туберкулемы, хондромы, гамартохондромы, кисты и др.) легкого","removal (or + combined) of a tumor (metastasis, tuberculoma, chondroma, hamartochondroma, cyst, etc.) of the lung",
cancr0022.00260,,,,kengaytirilgan pnevmonektomiya,расширенная пульмонэктомия,extended pulmonectomy,
cancr0022.00261,,,,kengaytirilgan kombinatsiyalangan pnevmonektomiya,расширенно-комбинированная пульмонэктомия,extended combined pulmonectomy,
cancr0022.00262,,,,o'pka dekortikatsiyasi bilan plevrektomiya,плеврэктомия с декортикацией легкого,pleurectomy with lung decortication,
cancr0022.00263,,,,torakomioplastika bilan qovurg'a rezektsiyasi,резекция ребер с торакомиопластикой,rib resection with thoracomyoplasty,
cancr0022.00264,,,,torakomioplastika bilan sternum rezektsiyasi,резекция грудины с торакомиопластикой,sternal resection with thoracomyoplasty,
cancr0022.00265,,,,traxeyaning dumaloq rezektsiyasi,циркулярная резекция трахеи,circular trachea resection,
cancr0022.00266,,,,torakotomiya orqali mediastinal shishlarni olib tashlash,удаление опухолей средостения через торакотомию,removal of mediastinal tumors through thoracotomy,
cancr0022.00267,,,,sternotomiya orqali mediastinal shishlarni olib tashlash,удаление опухолей средостения через стернотомию,removal of mediastinal tumors through sternotomy,
cancr0022.00268,,,,torakomioplastika bilan qovurg'alar va sternum rezektsiyasi,резекция ребер и грудины с торакомиопластикой,resection of ribs and sternum with thoracomyoplasty,
cancr0022.00269,,,,Lyuis operatsiyasi,операция Льюиса,Lewis operation,
cancr0022.00270,,,,Garlok-Osava operatsiyasi,операция Гарлока-Осавы,Harlock-Osawa operation,
cancr0022.00271,,,,"qizilo'ngachning abdominoservikal ekstirpatsiyasini qizilo'ngachgastroplastika, bo'yniga EGA qo'llash","абдоминоцервикальная экстирпация пищевода с эзофагогастропластикой, наложение Эга на шее","abdominocervical extirpation of the esophagus with esophagogastroplasty, imposition of EGA on the neck",
cancr0022.00272,,,,Makkeyn operatsiyasi (3 marta qizilo'ngachning ekstirpatsiyasi).,операция Маккейна (3х доступная экстирпация пищевода).,McCain operation (3x accessible extirpation of the esophagus).,
cancr0022.00273,,,,Garlok operatsiyasi,операция Гарлока,Harlock operation,
cancr0022.00274,,,,eksplorativ torakotomiya,эксплоративная торакотомия,exploratory thoracotomy,
cancr0022.00275,,,,retorakotomiya,реторакотомия,rethoracotomy,
cancr0022.00276,,,,"torasentez, plevra bo'shlig'ini drenajlash","торакоцентез, дренирование плевральной полости","thoracocentesis, drainage of the pleural cavity",
Основная опухоль,,,,,,,
cancr0023.00001,63161005,,Principal (qualifier value),Asosiy,Основная,Main,
cancr0023.00002,255606000,,Minor (qualifier value),Kichik,Неосновная,Minor,
Множественность опухоли,,,,,,,
cancr0024.00001, ,, ,Ha,Да,Yes,
cancr0024.00002,,,,Yo'q,Нет,No,
Первично-множественная опухоль,,,,,,,
cancr0025.00001,255237009,,Synchronous (qualifier value),Sinxron,Синхронная,Synchronous,
cancr0025.00002,,,,Metaxron,Метахронная,Metachronous,
Стадия рака,,,,,,,
cancr0026.00001,264031007,,In situ (qualifier value),in situ,in situ,in situ,
cancr0026.00002,258215001,,Stage 1 (qualifier value),I,I,I,
cancr0026.00003,258219007,,Stage 2 (qualifier value),II,II,II,
cancr0026.00004,258224005,,Stage 3 (qualifier value),III,III,III,
cancr0026.00005,258228008,,Stage 4 (qualifier value),IV,IV,IV,
cancr0026.00006,82334004,,Indeterminate (qualifier value),Oʻrnatilmagan,Не установлена,Not established,
Категория онкологического диагноза,,,,,,,
cancr0027.00001,,,,Topografiya,Топография,Topography,
cancr0027.00002,723198002,,Morphology (property) (qualifier value),Morfologiya,Морфология,Morphology,
cancr0027.00003,63161005,,Principal (qualifier value),Asosiy,Основной,Main,
Компоненты классификации TNM,,,,,,,
cancr0028.00001,,,,cT,cT,cT,
cancr0028.00002,,,,cN,cN,cN,
cancr0028.00003,,,,cM,cM,cM,
cancr0028.00004,,,,pT,pT,pT,
cancr0028.00005,,,,pN,pN,pN,
cancr0028.00006,,,,pM,pM,pM,
Степень поражения,,,,,,,
cancr0029.00001,,,,0,0,0,
cancr0029.00002,,,,X,X,X,
cancr0029.00003,,,,in situ,in situ,in situ,
cancr0029.00004,,,,1,1,1,
cancr0029.00005,,,,1a,1a,1a,
cancr0029.00006,,,,1b,1b,1b,
cancr0029.00007,,,,1c,1c,1c,
cancr0029.00008,,,,1d,1d,1d,
cancr0029.00009,,,,2,2,2,
cancr0029.00010,,,,2a,2a,2a,
cancr0029.00011,,,,2b,2b,2b,
cancr0029.00012,,,,2c,2c,2c,
cancr0029.00013,,,,2d,2d,2d,
cancr0029.00014,,,,3,3,3,
cancr0029.00015,,,,3a,3a,3a,
cancr0029.00016,,,,3b,3b,3b,
cancr0029.00017,,,,3c,3c,3c,
cancr0029.00018,,,,3d,3d,3d,
cancr0029.00019,,,,3e,3e,3e,
cancr0029.00020,,,,4,4,4,
cancr0029.00021,,,,4a,4a,4a,
cancr0029.00022,,,,4b,4b,4b,
cancr0029.00023,,,,4c,4c,4c,
cancr0029.00024,,,,4d,4d,4d,
cancr0029.00025,,,,4e,4e,4e,
cancr0029.00026,,,,m,m,m,
cancr0029.00027,,,,y,y,y,
cancr0029.00028,,,,r,r,r,
cancr0029.00029,,,,a,a,a,
Образование,,,,,,,
cancr0030.00001,,,,Asosiy,Базовое,Basic,
cancr0030.00002,,,,Ikkilamchi - maxsus,Средне - специальное,Secondary - special,
cancr0030.00003,,,,Yuqori,Высшее,Higher,
Профессии,,,,,,,
cancr0031.00001,,,,Mutaxassisligi noaniq,Профессия неизвестна,Occupation unknown,
cancr0031.00002,,,,Tog' korxonasi,Горнорабочий,Miner,
cancr0031.00003,,,,"Asbest, gematit, radon qazib oluvchi konchi","Горнорабочий по добыче асбеста, гематита, радона","Asbestos, hematite, radon miner",
cancr0031.00004,,,,Metallurg va qora metal quyuvchi (ishchi),Металлург и литейщик черной металлургии (рабочий),Ferrous metallurgy metallurgist and foundry worker (worker),
cancr0031.00005,,,,Metallurg va rangli metal quyuvchi (ishchi),Металлург и литейщик цветной металлургии (рабочий),Non-ferrous metallurgy metallurgist and foundry worker (worker),
cancr0031.00006,,,,"Metallurgiya va alyuminiy, nikel, xrom ishlab chiqarilishida quyuvchi (ishchi)","Металлург и литейщик (рабочий) по производству алюминия, никеля, хрома","Aluminum, nickel, chromium metallurgist and foundry worker (worker)",
cancr0031.00007,,,,Mashinasozlik (ishchi),Машиностроение (рабочий),Mechanical engineering (worker),
cancr0031.00008,,,,Metalga ishlov beradigan (ishchi),Металлообработка (рабочий),Metalworking (worker),
cancr0031.00009,,,,Plastik ishlab chiqarish (ishchi),Производство пластических масс (рабочий),Plastic production (worker),
cancr0031.00010,,,,Texnik asbest ishlab chiqarish (ishchi),Производство асбестотехнических изделий (рабочий),Asbestos products production (worker),
cancr0031.00011,,,,Neft kimyo ishlab chiqarish (ishchi),Нефтехимическое производство (рабочий),Petrochemical production (worker),
cancr0031.00012,,,,Rezina tashqi (ishchi),Резиновая промышленность (рабочий),Rubber industry (worker),
cancr0031.00013,,,,Bo'yoq ishlab chiqarish (ishchi),Производство красителей (рабочий),Dye production (worker),
cancr0031.00014,,,,Toshqo'mir ishlab chiqarish,Производство кокса,Coke production,
cancr0031.00015,,,,Kimyoviy sanoat (ishchi),Химическая промышленность (рабочий),Chemical industry (worker),
cancr0031.00016,,,,Kasbiy zarari tufayli quruvchi (ishchi),"Строитель, связанный с профессиональной вредностью (рабочий)",Builder associated with occupational hazard (worker),
cancr0031.00017,,,,Kasbiy zarari bo'lmagan quruvchi (ishchi),"Строитель, не связанный с профессиональной вредностью (рабочий)",Builder not associated with occupational hazard (worker),
cancr0031.00018,,,,Kasbiy zarari bo'lgan qurilish materiallari ishlab chiqarish (ishchi),"Строительных материалов производство, связанное с профессиональной вредностью (рабочий)",Building materials production associated with occupational hazard (worker),
cancr0031.00019,,,,Kasbiy zarari bo'lmagan qurilish materiallari ishlab chiqarish (ishchi),"Строительных материалов производство, не связанное с профессиональной вредностью (рабочий)",Building materials production not associated with occupational hazard (worker),
cancr0031.00020,,,,Oynachi va farfor-ganch chiqishlari ishlab chiqarish (ishchi),Стекольных и фарфоро - фаянсовых изделий производство (рабочий),Glass and porcelain - earthenware production (worker),
cancr0031.00021,,,,Minerallarga ishlov berish (ishchi),Минералов обработка (рабочий),Minerals processing (worker),
cancr0031.00022,,,,Og'ir mehnat qiluvchi (ishchi),"Силовые установки, эксплуатация (рабочий)","Power plants, operation (worker)",
cancr0031.00023,,,,O'rmon va yo'g'och tayyorlash jarayoni (ishchi),Лесная и лесозаготавливающая промышленность (рабочий),Forestry and logging industry (worker),
cancr0031.00024,,,,Kasbiy zarari xavfsiz yo'g'och so'zlik (ishchi),"Деревообрабатывающая промышленность, связанная с профессиональной вредностью (рабочий)",Woodworking industry associated with occupational hazard (worker),
cancr0031.00025,,,,Kasbiy zarari bo'lmagan yo'g'och so'zlik (ishchi),"Деревообрабатывающая промышленность, не связанная с профессиональной вредностью (рабочий)",Woodworking industry not associated with occupational hazard (worker),
cancr0031.00026,,,,Qo'g'oz va karton ishlab chiqarish (ishchi),Производство бумаги и картона (рабочий),Paper and cardboard production (worker),
cancr0031.00027,,,,Kasbiy zarari tufayli poligrafist (ishchi),"Полиграфист, связанный с профессиональной вредностью (рабочий)",Printer associated with occupational hazard (worker),
cancr0031.00028,,,,Kasbiy zarari bo'lmagan poligrafist (ishchi),"Полиграфист, не связанный с профессиональной вредностью (рабочий)",Printer not associated with occupational hazard (worker),
cancr0031.00029,,,,Kasbiy zarari bo'lgan to'qimachi (ishchi),"Текстильщик, связанный с профессиональной вредностью (рабочий)",Textile worker associated with occupational hazard (worker),
cancr0031.00030,,,,Kasbiy zarari boʻlmagan toʻqimachi (ishchi),"Текстильщик, не связанный с профессиональной вредностью (рабочий)",Textile worker not associated with occupational hazard (worker),
cancr0031.00031,,,,Tikuvchi (ishchi),Швейник (рабочий),Seamstress (worker),
cancr0031.00032,,,,Kasbiy zarari bo'lgan ko'nchi (ishchi),"Кожевенник, связанный с профессиональной вредностью (рабочий)",Tanners associated with occupational hazard (worker),
cancr0031.00033,,,,Kasbiy zarari bo'lmagan ko'nchi (ishchi),"Кожевенник, не связанный с профессиональной вредностью (рабочий)",Tanners not associated with occupational hazard (worker),
cancr0031.00034,,,,Kasbiy zarari joylashgan poyabzalchi (ishchi),"Обувщик, связанный с профессиональной вредностью (рабочий)",Shoemaker associated with occupational hazard (worker),
cancr0031.00035,,,,Kasbiy zarari bo'lmagan poyabzalchi (ishchi),"Обувщик, не связанный с профессиональной вредностью (рабочий)",Shoemaker not associated with occupational hazard (worker),
cancr0031.00036,,,,Oziq-ovkatchi (ishchi),Пищевик (рабочий),Food worker (worker),
cancr0031.00037,,,,Qishloq-xo'jalik dunyosi (ishchi),Сельскохозяйственная промышленность (рабочий),Agricultural industry (worker),
cancr0031.00038,,,,Baliqchilik va ovchilik xo'jaligi (ishchi),Рыболовное и охотничье хозяйство (рабочий),Fishing and hunting industry (worker),
cancr0031.00039,,,,Suv transporti (ishchi),Водный транспорт (рабочий),Water transport (worker),
cancr0031.00040,,,,Temiryo'l transporti (ishchi),Железнодорожный транспорт (рабочий),Railway transport (worker),
cancr0031.00041,,,,"Avtotrasport, shahar elektrotransporti (ishchi)","Автотранспорт, городской электротранспорт (рабочий)","Motor transport, urban electric transport (worker)",
cancr0031.00042,,,,Savdogar (ishchi),Торговля (рабочий),Trade (worker),
cancr0031.00043,,,,Umumiy ovkatlash maskani(ishchi),Общественное питание (рабочий),Public catering (worker),
cancr0031.00044,,,,Kasbiy zarari mavjud kommunal xo'jalik va maishiy xizmat ko'rsatish (ishchi),"Коммунальное хозяйство и бытовое обслуживание, связанное с профессиональной вредностью (рабочий)",Communal services and consumer services associated with occupational hazard (worker),
cancr0031.00045,,,,Kasbiy zarari bo'lmagan kommunal xo'jalik va maishiy xizmat ko'rsatish (ishchi),"Коммунальное хозяйство и бытовое обслуживание, не связанное с профессиональной вредностью (рабочий)",Communal services and consumer services not associated with occupational hazard (worker),
cancr0031.00046,,,,Kichik tibbiyyot hodimi,Младший медицинский персонал,Junior medical personnel,
cancr0031.00047,,,,Kasbiy zarari tarmoqdan tashqari ishchi,"Рабочий внеотраслевой группы, связанный с профессиональной вредностью",Worker of an extra-industry group associated with occupational hazard,
cancr0031.00048,,,,Kasbiy zarari bo'lmagan tarmoqdan tashqari ishchi,"Рабочий внеотраслевой группы, не связанный с профессиональной вредностью",Worker of an extra-industry group not associated with occupational hazard,
cancr0031.00049,,,,Ishchilarni boshqaruvchi,Руководящий работник,Managerial employee,
cancr0031.00050,,,,Kasbiy zarari sanoat rahbari texnika-muhandislik ish,"Инженерно - технический работник в промышленности, связанный с профессиональной вредностью",Engineering and technical worker in industry associated with occupational hazard,
cancr0031.00051,,,,Kasbiy zarari bo'lmagan sanoat texnika-muhandislik ishchisi,"Инженерно - технический работник в промышленности, не связанный с профессиональной вредностью",Engineering and technical worker in industry not associated with occupational hazard,
cancr0031.00052,,,,Qishloq xo'jaligida texnika-muhandislik ishchisi,Инженерно - технический работник в сельском хозяйстве,Engineering and technical worker in agriculture,
cancr0031.00053,,,,Kasbiy zarari tibbiy tibbiyot shifokori,"Врач медицинской специальности, связанной с профессиональной вредностью",Doctor of a medical specialty associated with occupational hazard,
cancr0031.00054,,,,Kasbiy zarari bo'lmagan tibbiyyot shifokori,"Врач медицинской специальности, не связанной с профессиональной вредностью","Doctor of a medical specialty, not related to occupational hazards",
cancr0031.00055,,,,Kasbiy zarari mavjud o'rta tibbiyyot hodimi,"Средний медицинский персонал, связанный с профессиональной вредностью",Normal medical personnel related to occupational hazards,
cancr0031.00056,,,,Kasbiy zarari bo'lmagan o'rta tibbiyyot hodimi,"Средний медицинский персонал, не связанный с профессиональной вредностью",Normal medical personnel not related to occupational hazards,
cancr0031.00057,,,,Apteka hodimi,Провизор,Chemist,
cancr0031.00058,,,,Dorishunos,Фармацевт,Pharmacist,
cancr0031.00059,,,,Kasbiy zarari dan ilmiy hodim,"Научный работник, связанный с профессиональной вредностью",Scientist related to occupational hazards,
cancr0031.00060,,,,Kasbiy zarari bo'lmagan ilmiy hodim,"Научный работник, не связанный с профессиональной вредностью",Scientist not related to occupational hazards,
cancr0031.00061,,,,"Pedagog, tarbiyachi","Педагог, воспитатель","Teacher, educator",
cancr0031.00062,,,,Adabiyot va bosma hodimi,Работник литературы и печати,Literature and printing worker,
cancr0031.00063,,,,Huquq hodimi,Юридический персонал,Legal personnel,
cancr0031.00064,,,,"Kasbiy zarari har biriy, tartib muhofaza hodimi","Работник охраны порядка, военнослужащий, связанные с профессиональной вредностью","Law enforcement officer, military personnel related to occupational hazards",
cancr0031.00065,,,,"Kasbiy zarari bo'lmagan harbiy, tartibga muhofaza hodimi","Работник охраны порядка, военнослужащий, не связанные с профессиональной вредностью","Law enforcement officer, military personnel not related to occupational hazards",
cancr0031.00066,,,,Aloqa ishchisi,Работник связи,Communication worker,
cancr0031.00067,,,,Mu texnikligi ishlab chiqmaydigan savdo hodimi,Работник торговли нерабочей специальности,Trade worker of non-working specialty,
cancr0031.00068,,,,Qayta tiklash va javob hodimi,Работник планирования и учета,Planning and accounting worker,
cancr0031.00069,,,,Ish yurtish hodimi,Делопроизводственный персонал,Office staff,
cancr0031.00070,,,,Boshqa guruhlarga kirmaydigan xizmatchilar,"Прочие занятия служащих, не включенные в другие группы",Other occupations of employees not included in other groups,
cancr0031.00071,,,,"Uy bekasi, ishlamaydi","Домохозяйка, не работает","Housewife, does not work",
cancr0031.00072,,,,"Maktabgacha joylashgan yosh, maktab o'quvchisi, KHK va institut talabasi","Дошкольный возраст, учащийся школы, учащийся ПТУ, института","Preschool age, school student, vocational school student, institute student",
